,2, 0, 3, 4, 7, 1, 9, 6, 8, 5, 
1, Natalie, Henry, Natalie, Natalie, Henry, Natalie, Natalie, Henry, Natalie, Henry, 
7, Henry, Henry, Henry, Henry, Natalie, Natalie, Natalie, Henry, Henry, Henry, 
6, Natalie, Natalie, Natalie, Natalie, Henry, Natalie, Henry, Natalie, Natalie, Natalie, 
5, Henry, Natalie, Natalie, Henry, Henry, Natalie, Henry, Natalie, Henry, Natalie, 
0, Henry, Henry, Henry, Natalie, Natalie, Henry, Henry, Natalie, Natalie, Henry, 
4, Henry, Natalie, Henry, Henry, Natalie, Henry, Henry, Natalie, Henry, Henry, 
9, Henry, Natalie, Henry, Natalie, Henry, Natalie, Natalie, Henry, Henry, Natalie, 
8, Natalie, Henry, Henry, Natalie, Natalie, Natalie, Henry, Henry, Natalie, Natalie, 
2, Henry, Natalie, Natalie, Henry, Natalie, Natalie, Natalie, Natalie, Natalie, Natalie, 
3, Henry, Henry, Natalie, Henry, Henry, Natalie, Henry, Henry, Henry, Henry,
